 NUMERO_BOLETIM; DATA HORA_BOLETIM; DATA_INCLUSAO; TIPO_ACIDENTE; DESC_TIPO_ACIDENTE; COD_TEMPO; DESC_TEMPO; COD_PAVIMENTO; PAVIMENTO; COD_REGIONAL; DESC_REGIONAL; ORIGEM_BOLETIM; LOCAL_SINALIZADO; VELOCIDADE_PERMITIDA; COORDENADA_X; COORDENADA_Y; HORA_INFORMADA; INDICADOR_FATALIDADE; VALOR_UPS; DESCRIÇÃO_UPS; DATA_ALTERACAO_SMSA; VALOR_UPS_ANTIGA; DESCRIÇÃO_UPS_ANTIGA
2019-024674418-001;26/05/2019 22:03;26/05/2019 22:47; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000612091.39;0007799879.22;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024686503-001;27/05/2019 00:26;27/05/2019 00:26; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;0000603344.15;0007789356.68;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024686899-001;27/05/2019 00:12;27/05/2019 00:30; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000611452.92;0007806549.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024687655-001;26/05/2019 22:24;27/05/2019 00:36; H03002;QUEDA DE VEICULO COM VITIMA                       ;1;BOM            ;1;ASFALTO        ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000612393.61;0007801571.45;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024689078-001;26/05/2019 22:05;27/05/2019 00:52; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000611895.95;0007804948.31;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024691926-001;27/05/2019 01:15;27/05/2019 01:28; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000610587.92;0007798511.65;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024704877-001;27/05/2019 06:20;27/05/2019 06:51; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000609344.28;0007791926.77;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024705320-001;27/05/2019 06:59;27/05/2019 09:07; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000607226.34;0007798545.70;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024705583-001;27/05/2019 05:22;27/05/2019 07:05; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000607466.96;0007798850.46;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024716451-001;27/05/2019 07:29;27/05/2019 08:53; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024719364-001;22/05/2019 16:10;27/05/2019 09:08; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA CIVIL  ;NÃO;0;0000613002.17;0007796753.97;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024726836-001;27/05/2019 09:25;27/05/2019 09:52; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000612750.56;0007794414.67;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024735326-001;27/05/2019 10:11;27/05/2019 10:33; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000606543.12;0007802647.61;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024736437-001;16/03/2019 07:30;27/05/2019 10:38; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO;0;0000602904.95;0007791174.10;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024741401-001;27/05/2019 10:25;27/05/2019 11:02; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000615801.06;0007806946.73;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024744840-001;27/05/2019 10:49;27/05/2019 11:21; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000611351.43;0007806584.63;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024745820-001;27/05/2019 10:49;27/05/2019 11:25; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;30;0000604902.32;0007803816.64;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024750666-001;27/05/2019 11:35;27/05/2019 11:54; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000608127.76;0007791284.22;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024752847-001;27/05/2019 11:45;27/05/2019 12:13; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000604624.16;0007801317.22;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024754335-001;27/05/2019 11:50;27/05/2019 12:23; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000604141.39;0007804521.67;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024755459-001;27/05/2019 11:41;27/05/2019 12:35; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000611843.90;0007795613.95;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024760122-001;27/05/2019 13:11;27/05/2019 13:11; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000610402.72;0007796865.56;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024773868-001;19/03/2019 17:35;27/05/2019 14:20; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA CIVIL  ;NÃO;0;0000605326.64;0007806548.11;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024776310-001;27/05/2019 12:31;27/05/2019 14:30; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000605492.94;0007800113.93;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024781325-001;27/05/2019 14:24;27/05/2019 14:50; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000604115.99;0007794294.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024782386-001;27/05/2019 14:18;27/05/2019 14:54; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000613076.03;0007805178.98;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024782843-001;27/05/2019 14:08;27/05/2019 14:55; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000605836.61;0007798624.66;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024800273-001;27/05/2019 08:40;27/05/2019 15:58; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000608335.23;0007804832.46;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024801450-001;27/05/2019 15:40;27/05/2019 16:02; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;0000605376.85;0007806962.85;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024802216-001;26/05/2019 18:00;27/05/2019 16:04; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA CIVIL  ;NÃO;0;0000604763.90;0007792233.90;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024815319-001;27/05/2019 16:54;27/05/2019 16:59; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000608501.12;0007794456.43;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024822609-001;27/05/2019 16:59;27/05/2019 17:33; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000613266.29;0007805272.26;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024834371-001;27/05/2019 17:51;27/05/2019 18:32; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000612047.28;0007794859.35;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024834867-001;27/05/2019 17:43;27/05/2019 18:34; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;0000612800.48;0007796807.55;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024835006-001;27/05/2019 17:56;27/05/2019 18:35; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024838984-001;26/05/2019 08:30;27/05/2019 18:57; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000609734.15;0007796930.72;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024840219-001;27/05/2019 17:45;27/05/2019 19:04; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000608559.22;0007803618.84;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024841085-001;27/05/2019 18:34;27/05/2019 19:09; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000610728.05;0007797213.81;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024844182-001;27/05/2019 19:05;27/05/2019 19:27; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000606204.96;0007796701.73;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024847750-001;27/05/2019 19:52;27/05/2019 19:53; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000611447.34;0007801452.19;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024849601-001;27/05/2019 19:53;27/05/2019 20:06; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000605865.18;0007798645.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024850779-001;27/05/2019 18:42;27/05/2019 20:15; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000607552.82;0007793755.72;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024850950-001;27/05/2019 18:39;27/05/2019 20:16; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000613759.06;0007801971.13;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024851156-001;27/05/2019 19:32;27/05/2019 20:17; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000610597.33;0007798468.92;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024851548-001;27/05/2019 19:35;27/05/2019 20:20; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;0000608030.95;0007809246.32;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024855430-001;27/05/2019 19:43;27/05/2019 20:47; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;0000599881.10;0007788897.67;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024857335-001;27/05/2019 19:52;27/05/2019 21:01; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;30;0000600839.11;0007788336.53;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024863163-001;27/05/2019 18:13;27/05/2019 21:48; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;0000606188.36;0007797729.05;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024863690-001;27/05/2019 18:43;27/05/2019 21:52; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000604425.13;0007794767.35;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024902645-001;28/05/2019 06:30;28/05/2019 07:30; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000610985.42;0007797290.48;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024906972-003;28/05/2019 08:14;28/05/2019 08:51; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;30;0000610499.64;0007797567.75;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024907691-001;28/05/2019 08:07;28/05/2019 08:34; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000610896.51;0007806866.19;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024909320-001;28/05/2019 07:31;28/05/2019 08:34; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000607827.17;0007793362.81;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024911163-001;28/05/2019 06:18;28/05/2019 08:46; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;20;LESTE          ;POLICIA MILITAR;NÃO;60;0000615320.38;0007798637.56;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024911661-001;28/05/2019 08:43;28/05/2019 08:50; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000604566.76;0007802554.06;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024915190-001;28/05/2019 08:24;28/05/2019 10:01; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000607497.02;0007805220.39;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024917383-001;28/05/2019 09:22;28/05/2019 09:23; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;0000613467.65;0007798161.43;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024918795-001;28/05/2019 08:56;28/05/2019 09:31; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000607326.95;0007805170.31;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024921052-001;28/05/2019 09:02;28/05/2019 09:44; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000609181.65;0007797035.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024921472-001;09/03/2019 11:30;28/05/2019 09:46; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;POLICIA CIVIL  ;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024922737-001;28/05/2019 08:44;28/05/2019 09:54; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000605720.90;0007792574.24;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024928960-001;03/05/2019 10:30;28/05/2019 10:27; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;0000606839.51;0007807606.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024929572-001;28/05/2019 10:01;28/05/2019 10:31; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000612131.54;0007800292.70;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024932510-001;28/05/2019 10:16;28/05/2019 10:48; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000602749.02;0007795707.09;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-024933618-001;28/05/2019 10:48;28/05/2019 10:54; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000612060.47;0007796280.48;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029870406-001;14/06/2019 00:01;24/06/2019 16:57; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000611277.12;0007798637.17;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029870490-001;24/06/2019 16:27;24/06/2019 16:57; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;70;0000000000.00;0000000000.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029874761-001;24/06/2019 16:50;24/06/2019 17:31; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000606639.26;0007804725.65;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029879407-001;24/06/2019 16:56;24/06/2019 17:31; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000608878.35;0007793282.50;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029888542-001;24/06/2019 17:06;24/06/2019 18:10; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;0000603378.13;0007789376.27;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029901004-001;22/06/2019 19:18;24/06/2019 19:14; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;0000612188.01;0007799146.26;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029907174-001;24/06/2019 18:50;24/06/2019 19:52; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;0000606466.97;0007794920.79;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029915155-001;24/06/2019 17:50;24/06/2019 20:45; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000608781.41;0007804236.48;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029915625-001;24/06/2019 20:13;24/06/2019 20:48; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;0000611709.32;0007801085.52;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029921481-001;24/06/2019 21:19;24/06/2019 21:29; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000611824.67;0007797719.08;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029928979-001;24/06/2019 21:41;24/06/2019 22:23; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;0000610238.46;0007810334.28;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029942879-001;24/06/2019 23:29;25/06/2019 00:03; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;0000612341.11;0007794950.30;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029946510-001;24/06/2019 23:43;25/06/2019 00:41; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;0000602284.18;0007789004.37;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029946877-001;24/06/2019 19:30;25/06/2019 00:45; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000604205.05;0007804297.12;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029947254-001;24/06/2019 23:42;25/06/2019 00:58; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
2019-029965598-001;25/06/2019 06:36;25/06/2019 07:07; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;0000613270.06;0007806263.58;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO
